Dataset,NDDs,Pairs,Edges,RA,PCTSP,Objective Value RA,Objective Value PCTSP
Dataset1,36,202,5289,2.2128794193267822,154.55154275894165,12374.0,11904.0
Dataset10,10,257,5243,2.1055853366851807,4.111443758010864,11841.0,11841.0
Dataset11,7,255,4851,1.863633155822754,45.289262771606445,11177.0,10787.0
Dataset12,6,215,3969,1.1837108135223389,2.5087995529174805,11113.0,11113.0
Dataset13,10,255,5905,3.062540531158448,38.96597623825073,13536.0,12741.0
Dataset14,1,310,8334,9.06643009185791,37.0787250995636,15039.0,14158.0
Dataset15,12,257,6193,2.648770332336426,86.52171325683594,13435.0,13011.0
Dataset16,6,261,5567,,,,
Dataset17,10,256,4978,,,,
Dataset18,6,330,9404,,,,
Dataset19,10,256,5395,2.2052419185638428,51.03133654594421,12396.0,12034.0
Dataset2,11,156,2182,0.4263527393341064,24.95851397514344,8012.0,7948.0
Dataset20,7,291,7398,,,,
Dataset21,8,275,6420,3.092371940612793,7.008465766906738,13173.0,13173.0
Dataset22,4,289,5950,,,,
Dataset23,3,199,3288,1.2415492534637451,27.951555252075195,9021.0,8345.0
Dataset24,7,198,2895,0.7345583438873291,25.102070808410645,8226.0,7843.0
Dataset25,2,389,13516,,,,
Dataset3,6,263,5585,,,,
Dataset4,5,284,7257,2.929758071899414,45.3722722530365,14176.0,13252.0
Dataset5,6,324,9558,,,,
Dataset6,6,328,9185,9.52345061302185,75.92593717575073,17921.0,17078.0
Dataset7,6,312,8365,,,,
Dataset8,11,152,1978,0.3786890506744385,1.3744239807128906,7652.0,7652.0
Dataset9,3,269,5890,,,,
