Dataset,NDDs,Pairs,Edges,Cycles,RA,PCTSP,Objective Value RA,Objective Value PCTSP
Dataset1,36,202,5289,878,0.9545574188232422,53.30440330505371,12374.0,11904.0
Dataset10,10,257,5243,746,0.6254408359527588,1.220128059387207,11841.0,11841.0
Dataset11,7,255,4851,818,0.5268325805664062,18.263234853744507,11177.0,10787.0
Dataset12,6,215,3969,1195,0.4162530899047851,0.9328460693359376,11113.0,11113.0
Dataset13,10,255,5905,1391,1.0692026615142822,16.60042929649353,13536.0,12741.0
Dataset14,1,310,8334,3717,3.3076648712158203,12.97660207748413,15039.0,14158.0
Dataset15,12,257,6193,1661,1.20868182182312,32.26765727996826,13435.0,13011.0
Dataset16,6,261,5567,1260,0.782984733581543,600.0084097385406,12561.0,8070.0
Dataset17,10,256,4978,937,0.6802599430084229,25.429123163223267,11646.0,11636.0
Dataset18,6,330,9404,5026,2.29843807220459,26.562633514404297,18173.0,18172.0
Dataset19,10,256,5395,968,0.8597283363342285,23.550444841384888,12396.0,12034.0
Dataset2,11,156,2182,337,0.14995980262756348,12.238939762115479,8012.0,7948.0
Dataset20,7,291,7398,2004,1.3825900554656982,31.40296959877014,14916.0,14908.0
Dataset21,8,275,6420,2808,0.804358959197998,2.275911808013916,13173.0,13173.0
Dataset22,4,289,5950,1762,0.79573655128479,16.250524282455444,13285.0,13285.0
Dataset23,3,199,3288,514,0.36127471923828125,9.929255962371826,9021.0,8345.0
Dataset24,7,198,2895,277,0.27729129791259766,12.698827981948853,8226.0,7843.0
Dataset25,2,389,13516,6927,5.013538122177124,600.0473983287811,22087.0,13346.0
Dataset3,6,263,5585,1029,0.7137703895568848,17.306928873062134,11447.0,11447.0
Dataset4,5,284,7257,3196,1.1824262142181396,19.074024200439453,14176.0,13252.0
Dataset5,6,324,9558,3966,1.8991355895996094,61.12512707710266,17244.0,17229.0
Dataset6,6,328,9185,3155,2.6303951740264893,30.575830698013306,17921.0,17078.0
Dataset7,6,312,8365,3320,1.8977365493774414,223.3421275615692,15819.0,15794.0
Dataset8,11,152,1978,350,0.16550183296203613,0.9240462779998779,7652.0,7652.0
Dataset9,3,269,5890,1111,2.7240347862243652,38.52985692024231,12876.0,12876.0
