Dataset,NDDs,Pairs,Edges,Cycles,RA,PCTSP,Objective Value RA,Objective Value PCTSP
Dataset1,36,202,5289,878,2.865876436,124.7857292,12315.0,12372.0
Dataset10,10,257,5243,746,1.465822458,2.794846535,11841.0,11841.0
Dataset11,7,255,4851,818,1.168771267,44.85080481,11177.0,11168.0
Dataset12,6,215,3969,1195,1.135620832,2.878289223,11113.0,11113.0
Dataset13,10,255,5905,1391,2.238958597,44.80631256,13512.0,13536.0
Dataset14,1,310,8334,3717,8.07253027,79.92805576,15039.0,15033.0
Dataset15,12,257,6193,1661,2.659826994,3510.890026,13316.0,13011.0
Dataset16,6,261,5567,1260,6.178903341,1200.046556,12561.0,8070.0
Dataset17,10,256,4978,937,3.808888197,107.177078,11646.0,11636.0
Dataset18,6,330,9404,5026,11.64964151,89.42201853,18173.0,18172.0
Dataset19,10,256,5395,968,4.169569969,161.6217263,12392.0,12372.0
Dataset2,11,156,2182,337,0.847964525,51.2185142,8007.0,7948.0
Dataset20,7,291,7398,2004,7.305757284,80.2033608,14916.0,14908.0
Dataset21,8,275,6420,2808,3.35842967,7.840037584,13173.0,13173.0
Dataset22,4,289,5950,1762,2.816039562,45.90564227,13285.0,13285.0
Dataset23,3,199,3288,514,1.31904459,32.51001215,9021.0,9021.0
Dataset24,7,198,2895,277,1.121303082,40.63629818,8226.0,8226.0
Dataset25,2,389,13516,6927,17.018369674682617,1200.7681455612183,22087.00000000003,13346.0
Dataset3,6,263,5585,1029,3.622927904,64.51033711,11447.0,11447.0
Dataset4,5,284,7257,3196,6.01651454,90.12412596,14176.0,14172.0
Dataset5,6,324,9558,3966,10.51221418,175.8982196,17244.0,17229.0
Dataset6,6,328,9185,3155,12.65669084,1187.070734,17921.0,17921.0
Dataset7,6,312,8365,3320,8.296988964,715.5391245,15788.0,15798.0
Dataset8,11,152,1978,350,0.505108833,2.016149998,7652.0,7652.0
Dataset9,3,269,5890,1111,4.643211603,62.49425292,12876.0,12876.0
