Dataset,NDDs,Pairs,Edges,Cycles,RA,PCTSP,Objective Value RA,Objective Value PCTSP
Dataset1,36,202,5289,878,2.8658764362335205,124.78572916984558,12315.0,12372.0
Dataset10,10,257,5243,746,1.465822458267212,2.794846534729004,11841.0,11841.0
Dataset11,7,255,4851,818,1.168771266937256,44.850804805755615,11177.0,11168.0
Dataset12,6,215,3969,1195,1.1356208324432373,2.878289222717285,11113.0,11113.0
Dataset13,10,255,5905,1391,2.2389585971832275,44.80631256103516,13512.0,13536.0
Dataset14,1,310,8334,3717,8.072530269622803,79.92805576324463,15039.0,15033.0
Dataset15,12,257,6193,1661,2.6598269939422607,3510.890026330948,13316.0,13011.0
Dataset16,6,261,5567,1260,6.178903341293335,1200.0465562343595,12561.0,8070.0
Dataset17,10,256,4978,937,3.8088881969451904,107.17707800865172,11646.0,11636.0
Dataset18,6,330,9404,5026,11.649641513824465,89.42201852798462,18173.0,18172.0
Dataset19,10,256,5395,968,4.169569969177246,161.62172627449036,12392.0,12372.0
Dataset2,11,156,2182,337,0.8479645252227783,51.21851420402527,8007.0,7948.0
Dataset20,7,291,7398,2004,7.305757284164429,80.20336079597473,14916.0,14908.0
Dataset21,8,275,6420,2808,3.3584296703338623,7.84003758430481,13173.0,13173.0
Dataset22,4,289,5950,1762,2.816039562225342,45.90564227104187,13285.0,13285.0
Dataset23,3,199,3288,514,1.319044589996338,32.51001214981079,9021.0,9021.0
Dataset24,7,198,2895,277,1.1213030815124512,40.63629817962647,8226.0,8226.0
Dataset25,2,389,13516,6927,20.199440479278564,6840.826110124588,22087.00000000003,13346.0
Dataset3,6,263,5585,1029,3.6229279041290283,64.5103371143341,11447.0,11447.0
Dataset4,5,284,7257,3196,6.016514539718628,90.12412595748901,14176.0,14172.0
Dataset5,6,324,9558,3966,10.512214183807373,175.8982195854187,17244.0,17229.0
Dataset6,6,328,9185,3155,12.656690835952759,1187.0707335472107,17921.0,17921.0
Dataset7,6,312,8365,3320,8.29698896408081,715.5391244888306,15788.0,15798.0
Dataset8,11,152,1978,350,0.5051088333129883,2.0161499977111816,7652.0,7652.0
Dataset9,3,269,5890,1111,4.643211603164673,62.49425292015076,12876.0,12876.0
